# T [GeV]	qhat/T^3
1.50000e-01	4.01230e+00
1.62570e-01	4.49220e+00
1.76193e-01	4.98571e+00
1.90958e-01	5.44610e+00
2.06959e-01	5.81284e+00
2.24302e-01	6.02298e+00
2.43098e-01	6.02865e+00
2.63470e-01	5.81427e+00
2.85548e-01	5.40445e+00
3.09477e-01	4.85758e+00
3.35410e-01	4.24784e+00
3.63517e-01	3.64473e+00
3.93979e-01	3.09906e+00
4.26994e-01	2.63876e+00
4.62775e-01	2.27238e+00
5.01555e-01	1.99589e+00
5.43585e-01	1.79914e+00
5.89136e-01	1.67033e+00
6.38505e-01	1.59834e+00
6.92011e-01	1.57356e+00
7.50000e-01	1.58768e+00
