# T [GeV]	qhat/T^3
1.50000e-01	1.22988e+00
1.62570e-01	1.33793e+00
1.76193e-01	1.49288e+00
1.90958e-01	1.69465e+00
2.06959e-01	1.93881e+00
2.24302e-01	2.21465e+00
2.43098e-01	2.50461e+00
2.63470e-01	2.78630e+00
2.85548e-01	3.03709e+00
3.09477e-01	3.24005e+00
3.35410e-01	3.38848e+00
3.63517e-01	3.48725e+00
3.93979e-01	3.55057e+00
4.26994e-01	3.59752e+00
4.62775e-01	3.64732e+00
5.01555e-01	3.71574e+00
5.43585e-01	3.81289e+00
5.89136e-01	3.94211e+00
6.38505e-01	4.09967e+00
6.92011e-01	4.27517e+00
7.50000e-01	4.45310e+00
