# T [GeV]	qhat/T^3
1.50000e-01	1.83828e+00
1.62570e-01	1.82595e+00
1.76193e-01	1.82187e+00
1.90958e-01	1.83294e+00
2.06959e-01	1.86706e+00
2.24302e-01	1.93278e+00
2.43098e-01	2.03887e+00
2.63470e-01	2.19394e+00
2.85548e-01	2.40560e+00
3.09477e-01	2.67908e+00
3.35410e-01	3.01484e+00
3.63517e-01	3.40573e+00
3.93979e-01	3.83459e+00
4.26994e-01	4.27377e+00
4.62775e-01	4.68829e+00
5.01555e-01	5.04273e+00
5.43585e-01	5.30984e+00
5.89136e-01	5.47757e+00
6.38505e-01	5.55135e+00
6.92011e-01	5.55098e+00
7.50000e-01	5.50406e+00
