# T [GeV]	qhat/T^3
1.50000e-01	3.64821e+00
1.62570e-01	4.08926e+00
1.76193e-01	4.60176e+00
1.90958e-01	5.18323e+00
2.06959e-01	5.82940e+00
2.24302e-01	6.53406e+00
2.43098e-01	7.28878e+00
2.63470e-01	8.08242e+00
2.85548e-01	8.90042e+00
3.09477e-01	9.72406e+00
3.35410e-01	1.05301e+01
3.63517e-01	1.12911e+01
3.93979e-01	1.19773e+01
4.26994e-01	1.25592e+01
4.62775e-01	1.30112e+01
5.01555e-01	1.33155e+01
5.43585e-01	1.34649e+01
5.89136e-01	1.34635e+01
6.38505e-01	1.33258e+01
6.92011e-01	1.30732e+01
7.50000e-01	1.27306e+01
