# T [GeV]	qhat/T^3
1.50000e-01	7.09316e-01
1.62570e-01	7.10052e-01
1.76193e-01	7.49197e-01
1.90958e-01	8.29528e-01
2.06959e-01	9.56911e-01
2.24302e-01	1.13943e+00
2.43098e-01	1.38571e+00
2.63470e-01	1.70215e+00
2.85548e-01	2.08903e+00
3.09477e-01	2.53622e+00
3.35410e-01	3.02031e+00
3.63517e-01	3.50484e+00
3.93979e-01	3.94533e+00
4.26994e-01	4.29812e+00
4.62775e-01	4.53026e+00
5.01555e-01	4.62673e+00
5.43585e-01	4.59217e+00
5.89136e-01	4.44725e+00
6.38505e-01	4.22164e+00
6.92011e-01	3.94682e+00
7.50000e-01	3.65057e+00
