# T [GeV]	qhat/T^3
1.50000e-01	7.59779e-01
1.62570e-01	7.79370e-01
1.76193e-01	8.01329e-01
1.90958e-01	8.24122e-01
2.06959e-01	8.46389e-01
2.24302e-01	8.66916e-01
2.43098e-01	8.84622e-01
2.63470e-01	8.98598e-01
2.85548e-01	9.08177e-01
3.09477e-01	9.13060e-01
3.35410e-01	9.13419e-01
3.63517e-01	9.09959e-01
3.93979e-01	9.03896e-01
4.26994e-01	8.96845e-01
4.62775e-01	8.90653e-01
5.01555e-01	8.87214e-01
5.43585e-01	8.88318e-01
5.89136e-01	8.95556e-01
6.38505e-01	9.10298e-01
6.92011e-01	9.33744e-01
7.50000e-01	9.67022e-01
