# T [GeV]	qhat/T^3
1.50000e-01	2.25925e+00
1.62570e-01	2.30074e+00
1.76193e-01	2.38357e+00
1.90958e-01	2.48941e+00
2.06959e-01	2.59756e+00
2.24302e-01	2.68626e+00
2.43098e-01	2.73585e+00
2.63470e-01	2.73272e+00
2.85548e-01	2.67247e+00
3.09477e-01	2.56084e+00
3.35410e-01	2.41171e+00
3.63517e-01	2.24329e+00
3.93979e-01	2.07391e+00
4.26994e-01	1.91890e+00
4.62775e-01	1.78919e+00
5.01555e-01	1.69132e+00
5.43585e-01	1.62840e+00
5.89136e-01	1.60108e+00
6.38505e-01	1.60836e+00
6.92011e-01	1.64795e+00
7.50000e-01	1.71619e+00
