# T [GeV]	qhat/T^3
1.50000e-01	2.97862e+00
1.62570e-01	3.13864e+00
1.76193e-01	3.30107e+00
1.90958e-01	3.46526e+00
2.06959e-01	3.63033e+00
2.24302e-01	3.79574e+00
2.43098e-01	3.96182e+00
2.63470e-01	4.12993e+00
2.85548e-01	4.30239e+00
3.09477e-01	4.48190e+00
3.35410e-01	4.67097e+00
3.63517e-01	4.87122e+00
3.93979e-01	5.08296e+00
4.26994e-01	5.30508e+00
4.62775e-01	5.53510e+00
5.01555e-01	5.76956e+00
5.43585e-01	6.00442e+00
5.89136e-01	6.23539e+00
6.38505e-01	6.45815e+00
6.92011e-01	6.66839e+00
7.50000e-01	6.86175e+00
