# T [GeV]	qhat/T^3
1.50000e-01	4.93186e+00
1.62570e-01	4.86911e+00
1.76193e-01	4.72376e+00
1.90958e-01	4.49491e+00
2.06959e-01	4.19552e+00
2.24302e-01	3.84997e+00
2.43098e-01	3.48841e+00
2.63470e-01	3.14030e+00
2.85548e-01	2.82929e+00
3.09477e-01	2.57113e+00
3.35410e-01	2.37412e+00
3.63517e-01	2.24108e+00
3.93979e-01	2.17176e+00
4.26994e-01	2.16462e+00
4.62775e-01	2.21781e+00
5.01555e-01	2.32932e+00
5.43585e-01	2.49631e+00
5.89136e-01	2.71407e+00
6.38505e-01	2.97488e+00
6.92011e-01	3.26738e+00
7.50000e-01	3.57679e+00
