# T [GeV]	qhat/T^3
1.50000e-01	6.12131e+00
1.62570e-01	6.28433e+00
1.76193e-01	6.34867e+00
1.90958e-01	6.30591e+00
2.06959e-01	6.15441e+00
2.24302e-01	5.89999e+00
2.43098e-01	5.55604e+00
2.63470e-01	5.14258e+00
2.85548e-01	4.68443e+00
3.09477e-01	4.20854e+00
3.35410e-01	3.74102e+00
3.63517e-01	3.30456e+00
3.93979e-01	2.91661e+00
4.26994e-01	2.58893e+00
4.62775e-01	2.32826e+00
5.01555e-01	2.13794e+00
5.43585e-01	2.02010e+00
5.89136e-01	1.97806e+00
6.38505e-01	2.01895e+00
6.92011e-01	2.15644e+00
7.50000e-01	2.41409e+00
