# T [GeV]	qhat/T^3
1.50000e-01	8.00376e+00
1.62570e-01	8.24638e+00
1.76193e-01	8.43843e+00
1.90958e-01	8.55296e+00
2.06959e-01	8.55840e+00
2.24302e-01	8.42430e+00
2.43098e-01	8.12922e+00
2.63470e-01	7.66855e+00
2.85548e-01	7.05936e+00
3.09477e-01	6.33961e+00
3.35410e-01	5.56147e+00
3.63517e-01	4.78065e+00
3.93979e-01	4.04591e+00
4.26994e-01	3.39189e+00
4.62775e-01	2.83701e+00
5.01555e-01	2.38547e+00
5.43585e-01	2.03158e+00
5.89136e-01	1.76430e+00
6.38505e-01	1.57093e+00
6.92011e-01	1.43937e+00
7.50000e-01	1.35926e+00
