# T [GeV]	qhat/T^3
1.50000e-01	5.24419e+00
1.62570e-01	4.41939e+00
1.76193e-01	3.75860e+00
1.90958e-01	3.23322e+00
2.06959e-01	2.81784e+00
2.24302e-01	2.49132e+00
2.43098e-01	2.23681e+00
2.63470e-01	2.04129e+00
2.85548e-01	1.89497e+00
3.09477e-01	1.79064e+00
3.35410e-01	1.72317e+00
3.63517e-01	1.68898e+00
3.93979e-01	1.68568e+00
4.26994e-01	1.71172e+00
4.62775e-01	1.76600e+00
5.01555e-01	1.84751e+00
5.43585e-01	1.95497e+00
5.89136e-01	2.08645e+00
6.38505e-01	2.23902e+00
6.92011e-01	2.40859e+00
7.50000e-01	2.58986e+00
