# T [GeV]	qhat/T^3
1.50000e-01	1.11473e+00
1.62570e-01	9.62360e-01
1.76193e-01	8.31324e-01
1.90958e-01	7.24128e-01
2.06959e-01	6.41424e-01
2.24302e-01	5.82644e-01
2.43098e-01	5.46794e-01
2.63470e-01	5.33167e-01
2.85548e-01	5.41867e-01
3.09477e-01	5.74112e-01
3.35410e-01	6.32256e-01
3.63517e-01	7.19431e-01
3.93979e-01	8.38630e-01
4.26994e-01	9.91045e-01
4.62775e-01	1.17370e+00
5.01555e-01	1.37694e+00
5.43585e-01	1.58305e+00
5.89136e-01	1.76755e+00
6.38505e-01	1.90412e+00
6.92011e-01	1.97205e+00
7.50000e-01	1.96298e+00
