# T [GeV]	qhat/T^3
1.50000e-01	4.24998e+00
1.62570e-01	4.79636e+00
1.76193e-01	5.41270e+00
1.90958e-01	6.10133e+00
2.06959e-01	6.86226e+00
2.24302e-01	7.69278e+00
2.43098e-01	8.58779e+00
2.63470e-01	9.54087e+00
2.85548e-01	1.05458e+01
3.09477e-01	1.15978e+01
3.35410e-01	1.26944e+01
3.63517e-01	1.38337e+01
3.93979e-01	1.50121e+01
4.26994e-01	1.62193e+01
4.62775e-01	1.74333e+01
5.01555e-01	1.86141e+01
5.43585e-01	1.97014e+01
5.89136e-01	2.06143e+01
6.38505e-01	2.12585e+01
6.92011e-01	2.15393e+01
7.50000e-01	2.13799e+01
