# T [GeV]	qhat/T^3
1.50000e-01	2.36883e+00
1.62570e-01	2.10028e+00
1.76193e-01	1.86183e+00
1.90958e-01	1.66094e+00
2.06959e-01	1.50096e+00
2.24302e-01	1.38250e+00
2.43098e-01	1.30482e+00
2.63470e-01	1.26703e+00
2.85548e-01	1.26887e+00
3.09477e-01	1.31109e+00
3.35410e-01	1.39539e+00
3.63517e-01	1.52371e+00
3.93979e-01	1.69708e+00
4.26994e-01	1.91368e+00
4.62775e-01	2.16684e+00
5.01555e-01	2.44358e+00
5.43585e-01	2.72495e+00
5.89136e-01	2.98900e+00
6.38505e-01	3.21587e+00
6.92011e-01	3.39320e+00
7.50000e-01	3.51933e+00
