# T [GeV]	qhat/T^3
1.50000e-01	1.08165e+01
1.62570e-01	9.87283e+00
1.76193e-01	9.03768e+00
1.90958e-01	8.33947e+00
2.06959e-01	7.78817e+00
2.24302e-01	7.38032e+00
2.43098e-01	7.10370e+00
2.63470e-01	6.94052e+00
2.85548e-01	6.86940e+00
3.09477e-01	6.86637e+00
3.35410e-01	6.90581e+00
3.63517e-01	6.96162e+00
3.93979e-01	7.00899e+00
4.26994e-01	7.02652e+00
4.62775e-01	6.99821e+00
5.01555e-01	6.91472e+00
5.43585e-01	6.77347e+00
5.89136e-01	6.57764e+00
6.38505e-01	6.33447e+00
6.92011e-01	6.05340e+00
7.50000e-01	5.74452e+00
