# T [GeV]	qhat/T^3
1.50000e-01	2.92874e+00
1.62570e-01	3.13339e+00
1.76193e-01	3.36751e+00
1.90958e-01	3.63096e+00
2.06959e-01	3.92032e+00
2.24302e-01	4.22753e+00
2.43098e-01	4.53868e+00
2.63470e-01	4.83384e+00
2.85548e-01	5.08848e+00
3.09477e-01	5.27671e+00
3.35410e-01	5.37626e+00
3.63517e-01	5.37354e+00
3.93979e-01	5.26739e+00
4.26994e-01	5.06973e+00
4.62775e-01	4.80285e+00
5.01555e-01	4.49447e+00
5.43585e-01	4.17217e+00
5.89136e-01	3.85904e+00
6.38505e-01	3.57129e+00
6.92011e-01	3.31775e+00
7.50000e-01	3.10059e+00
