# T [GeV]	qhat/T^3
1.50000e-01	1.94531e+00
1.62570e-01	1.97784e+00
1.76193e-01	2.02429e+00
1.90958e-01	2.08394e+00
2.06959e-01	2.15466e+00
2.24302e-01	2.23239e+00
2.43098e-01	2.31089e+00
2.63470e-01	2.38211e+00
2.85548e-01	2.43711e+00
3.09477e-01	2.46780e+00
3.35410e-01	2.46884e+00
3.63517e-01	2.43924e+00
3.93979e-01	2.38287e+00
4.26994e-01	2.30779e+00
4.62775e-01	2.22448e+00
5.01555e-01	2.14389e+00
5.43585e-01	2.07578e+00
5.89136e-01	2.02769e+00
6.38505e-01	2.00469e+00
6.92011e-01	2.00936e+00
7.50000e-01	2.04198e+00
