# T [GeV]	qhat/T^3
1.50000e-01	6.97470e+00
1.62570e-01	6.94591e+00
1.76193e-01	6.91118e+00
1.90958e-01	6.86922e+00
2.06959e-01	6.81670e+00
2.24302e-01	6.74906e+00
2.43098e-01	6.66150e+00
2.63470e-01	6.54987e+00
2.85548e-01	6.41140e+00
3.09477e-01	6.24514e+00
3.35410e-01	6.05203e+00
3.63517e-01	5.83480e+00
3.93979e-01	5.59766e+00
4.26994e-01	5.34611e+00
4.62775e-01	5.08672e+00
5.01555e-01	4.82709e+00
5.43585e-01	4.57572e+00
5.89136e-01	4.34184e+00
6.38505e-01	4.13517e+00
6.92011e-01	3.96546e+00
7.50000e-01	3.84213e+00
