# T [GeV]	qhat/T^3
1.50000e-01	3.09818e+00
1.62570e-01	3.05433e+00
1.76193e-01	2.99991e+00
1.90958e-01	2.92186e+00
2.06959e-01	2.81123e+00
2.24302e-01	2.66554e+00
2.43098e-01	2.48946e+00
2.63470e-01	2.29352e+00
2.85548e-01	2.09129e+00
3.09477e-01	1.89617e+00
3.35410e-01	1.71896e+00
3.63517e-01	1.56661e+00
3.93979e-01	1.44235e+00
4.26994e-01	1.34642e+00
4.62775e-01	1.27702e+00
5.01555e-01	1.23117e+00
5.43585e-01	1.20532e+00
5.89136e-01	1.19574e+00
6.38505e-01	1.19885e+00
6.92011e-01	1.21150e+00
7.50000e-01	1.23124e+00
