# T [GeV]	qhat/T^3
1.50000e-01	1.60598e+00
1.62570e-01	1.48782e+00
1.76193e-01	1.39068e+00
1.90958e-01	1.32094e+00
2.06959e-01	1.28206e+00
2.24302e-01	1.27553e+00
2.43098e-01	1.30155e+00
2.63470e-01	1.35920e+00
2.85548e-01	1.44611e+00
3.09477e-01	1.55774e+00
3.35410e-01	1.68656e+00
3.63517e-01	1.82169e+00
3.93979e-01	1.94955e+00
4.26994e-01	2.05569e+00
4.62775e-01	2.12771e+00
5.01555e-01	2.15824e+00
5.43585e-01	2.14684e+00
5.89136e-01	2.10003e+00
6.38505e-01	2.02952e+00
6.92011e-01	1.94950e+00
7.50000e-01	1.87408e+00
