# T [GeV]	qhat/T^3
1.50000e-01	1.80727e+00
1.62570e-01	1.64517e+00
1.76193e-01	1.52955e+00
1.90958e-01	1.45515e+00
2.06959e-01	1.41651e+00
2.24302e-01	1.40835e+00
2.43098e-01	1.42562e+00
2.63470e-01	1.46350e+00
2.85548e-01	1.51748e+00
3.09477e-01	1.58366e+00
3.35410e-01	1.65917e+00
3.63517e-01	1.74262e+00
3.93979e-01	1.83433e+00
4.26994e-01	1.93620e+00
4.62775e-01	2.05119e+00
5.01555e-01	2.18246e+00
5.43585e-01	2.33228e+00
5.89136e-01	2.50089e+00
6.38505e-01	2.68533e+00
6.92011e-01	2.87851e+00
7.50000e-01	3.06892e+00
