# T [GeV]	qhat/T^3
1.50000e-01	2.73274e+00
1.62570e-01	2.80650e+00
1.76193e-01	3.00668e+00
1.90958e-01	3.34598e+00
2.06959e-01	3.84233e+00
2.24302e-01	4.51410e+00
2.43098e-01	5.37206e+00
2.63470e-01	6.40839e+00
2.85548e-01	7.58543e+00
3.09477e-01	8.82933e+00
3.35410e-01	1.00350e+01
3.63517e-01	1.10847e+01
3.93979e-01	1.18765e+01
4.26994e-01	1.23505e+01
4.62775e-01	1.25023e+01
5.01555e-01	1.23779e+01
5.43585e-01	1.20563e+01
5.89136e-01	1.16266e+01
6.38505e-01	1.11710e+01
6.92011e-01	1.07542e+01
7.50000e-01	1.04214e+01
