# T [GeV]	qhat/T^3
1.50000e-01	6.68202e+00
1.62570e-01	6.56080e+00
1.76193e-01	6.46498e+00
1.90958e-01	6.40220e+00
2.06959e-01	6.37129e+00
2.24302e-01	6.36252e+00
2.43098e-01	6.35889e+00
2.63470e-01	6.33875e+00
2.85548e-01	6.27971e+00
3.09477e-01	6.16351e+00
3.35410e-01	5.98069e+00
3.63517e-01	5.73334e+00
3.93979e-01	5.43500e+00
4.26994e-01	5.10755e+00
4.62775e-01	4.77633e+00
5.01555e-01	4.46540e+00
5.43585e-01	4.19426e+00
5.89136e-01	3.97647e+00
6.38505e-01	3.81993e+00
6.92011e-01	3.72799e+00
7.50000e-01	3.70062e+00
