# T [GeV]	qhat/T^3
1.50000e-01	1.21634e+01
1.62570e-01	1.20395e+01
1.76193e-01	1.17847e+01
1.90958e-01	1.14383e+01
2.06959e-01	1.10432e+01
2.24302e-01	1.06392e+01
2.43098e-01	1.02585e+01
2.63470e-01	9.92130e+00
2.85548e-01	9.63517e+00
3.09477e-01	9.39506e+00
3.35410e-01	9.18546e+00
3.63517e-01	8.98377e+00
3.93979e-01	8.76503e+00
4.26994e-01	8.50749e+00
4.62775e-01	8.19792e+00
5.01555e-01	7.83513e+00
5.43585e-01	7.43063e+00
5.89136e-01	7.00592e+00
6.38505e-01	6.58775e+00
6.92011e-01	6.20294e+00
7.50000e-01	5.87446e+00
