# T [GeV]	qhat/T^3
1.50000e-01	3.78191e+00
1.62570e-01	3.73893e+00
1.76193e-01	3.73463e+00
1.90958e-01	3.78326e+00
2.06959e-01	3.89602e+00
2.24302e-01	4.08080e+00
2.43098e-01	4.34160e+00
2.63470e-01	4.67751e+00
2.85548e-01	5.08116e+00
3.09477e-01	5.53697e+00
3.35410e-01	6.02015e+00
3.63517e-01	6.49707e+00
3.93979e-01	6.92771e+00
4.26994e-01	7.27057e+00
4.62775e-01	7.48913e+00
5.01555e-01	7.55869e+00
5.43585e-01	7.47157e+00
5.89136e-01	7.23905e+00
6.38505e-01	6.88913e+00
6.92011e-01	6.46094e+00
7.50000e-01	5.99724e+00
