# T [GeV]	qhat/T^3
1.50000e-01	4.43672e+00
1.62570e-01	4.12674e+00
1.76193e-01	3.91822e+00
1.90958e-01	3.79456e+00
2.06959e-01	3.73938e+00
2.24302e-01	3.73600e+00
2.43098e-01	3.76668e+00
2.63470e-01	3.81214e+00
2.85548e-01	3.85182e+00
3.09477e-01	3.86535e+00
3.35410e-01	3.83501e+00
3.63517e-01	3.74889e+00
3.93979e-01	3.60362e+00
4.26994e-01	3.40548e+00
4.62775e-01	3.16929e+00
5.01555e-01	2.91509e+00
5.43585e-01	2.66396e+00
5.89136e-01	2.43432e+00
6.38505e-01	2.23975e+00
6.92011e-01	2.08855e+00
7.50000e-01	1.98457e+00
