# T [GeV]	qhat/T^3
1.50000e-01	3.93403e+00
1.62570e-01	3.92505e+00
1.76193e-01	3.90629e+00
1.90958e-01	3.89631e+00
2.06959e-01	3.91099e+00
2.24302e-01	3.96230e+00
2.43098e-01	4.05797e+00
2.63470e-01	4.20149e+00
2.85548e-01	4.39199e+00
3.09477e-01	4.62372e+00
3.35410e-01	4.88543e+00
3.63517e-01	5.15985e+00
3.93979e-01	5.42391e+00
4.26994e-01	5.65023e+00
4.62775e-01	5.81028e+00
5.01555e-01	5.87882e+00
5.43585e-01	5.83885e+00
5.89136e-01	5.68534e+00
6.38505e-01	5.42641e+00
6.92011e-01	5.08161e+00
7.50000e-01	4.67766e+00
