# T [GeV]	qhat/T^3
1.50000e-01	3.86935e+00
1.62570e-01	4.13675e+00
1.76193e-01	4.41559e+00
1.90958e-01	4.70200e+00
2.06959e-01	4.98995e+00
2.24302e-01	5.27138e+00
2.43098e-01	5.53641e+00
2.63470e-01	5.77384e+00
2.85548e-01	5.97187e+00
3.09477e-01	6.11937e+00
3.35410e-01	6.20748e+00
3.63517e-01	6.23175e+00
3.93979e-01	6.19409e+00
4.26994e-01	6.10403e+00
4.62775e-01	5.97858e+00
5.01555e-01	5.84071e+00
5.43585e-01	5.71657e+00
5.89136e-01	5.63267e+00
6.38505e-01	5.61341e+00
6.92011e-01	5.67958e+00
7.50000e-01	5.84726e+00
