# T [GeV]	qhat/T^3
1.50000e-01	6.21835e-01
1.62570e-01	7.02427e-01
1.76193e-01	8.01423e-01
1.90958e-01	9.20612e-01
2.06959e-01	1.06171e+00
2.24302e-01	1.22589e+00
2.43098e-01	1.41296e+00
2.63470e-01	1.62024e+00
2.85548e-01	1.84137e+00
3.09477e-01	2.06531e+00
3.35410e-01	2.27643e+00
3.63517e-01	2.45617e+00
3.93979e-01	2.58644e+00
4.26994e-01	2.65408e+00
4.62775e-01	2.65462e+00
5.01555e-01	2.59378e+00
5.43585e-01	2.48586e+00
5.89136e-01	2.34988e+00
6.38505e-01	2.20515e+00
6.92011e-01	2.06787e+00
7.50000e-01	1.94945e+00
