# T [GeV]	qhat/T^3
1.50000e-01	5.50244e+00
1.62570e-01	5.28105e+00
1.76193e-01	5.07076e+00
1.90958e-01	4.86094e+00
2.06959e-01	4.64202e+00
2.24302e-01	4.40770e+00
2.43098e-01	4.15632e+00
2.63470e-01	3.89104e+00
2.85548e-01	3.61904e+00
3.09477e-01	3.34995e+00
3.35410e-01	3.09409e+00
3.63517e-01	2.86099e+00
3.93979e-01	2.65848e+00
4.26994e-01	2.49245e+00
4.62775e-01	2.36705e+00
5.01555e-01	2.28533e+00
5.43585e-01	2.24985e+00
5.89136e-01	2.26334e+00
6.38505e-01	2.32917e+00
6.92011e-01	2.45155e+00
7.50000e-01	2.63541e+00
