# T [GeV]	qhat/T^3
1.50000e-01	2.68563e+00
1.62570e-01	2.73509e+00
1.76193e-01	2.76631e+00
1.90958e-01	2.77752e+00
2.06959e-01	2.76837e+00
2.24302e-01	2.73993e+00
2.43098e-01	2.69450e+00
2.63470e-01	2.63517e+00
2.85548e-01	2.56536e+00
3.09477e-01	2.48841e+00
3.35410e-01	2.40739e+00
3.63517e-01	2.32501e+00
3.93979e-01	2.24382e+00
4.26994e-01	2.16631e+00
4.62775e-01	2.09510e+00
5.01555e-01	2.03291e+00
5.43585e-01	1.98247e+00
5.89136e-01	1.94633e+00
6.38505e-01	1.92658e+00
6.92011e-01	1.92457e+00
7.50000e-01	1.94068e+00
