# T [GeV]	qhat/T^3
1.50000e-01	2.06380e+00
1.62570e-01	1.92928e+00
1.76193e-01	1.80820e+00
1.90958e-01	1.70183e+00
2.06959e-01	1.61218e+00
2.24302e-01	1.54174e+00
2.43098e-01	1.49335e+00
2.63470e-01	1.47006e+00
2.85548e-01	1.47519e+00
3.09477e-01	1.51247e+00
3.35410e-01	1.58615e+00
3.63517e-01	1.70107e+00
3.93979e-01	1.86243e+00
4.26994e-01	2.07516e+00
4.62775e-01	2.34287e+00
5.01555e-01	2.66622e+00
5.43585e-01	3.04117e+00
5.89136e-01	3.45741e+00
6.38505e-01	3.89786e+00
6.92011e-01	4.33985e+00
7.50000e-01	4.75811e+00
