# T [GeV]	qhat/T^3
1.50000e-01	1.19267e+00
1.62570e-01	1.31967e+00
1.76193e-01	1.46775e+00
1.90958e-01	1.64032e+00
2.06959e-01	1.84233e+00
2.24302e-01	2.08112e+00
2.43098e-01	2.36735e+00
2.63470e-01	2.71606e+00
2.85548e-01	3.14740e+00
3.09477e-01	3.68692e+00
3.35410e-01	4.36460e+00
3.63517e-01	5.21149e+00
3.93979e-01	6.25265e+00
4.26994e-01	7.49510e+00
4.62775e-01	8.91121e+00
5.01555e-01	1.04222e+01
5.43585e-01	1.18915e+01
5.89136e-01	1.31390e+01
6.38505e-01	1.39825e+01
6.92011e-01	1.42943e+01
7.50000e-01	1.40475e+01
