# T [GeV]	qhat/T^3
1.50000e-01	2.74445e+00
1.62570e-01	2.55262e+00
1.76193e-01	2.32919e+00
1.90958e-01	2.09001e+00
2.06959e-01	1.85171e+00
2.24302e-01	1.62903e+00
2.43098e-01	1.43300e+00
2.63470e-01	1.27034e+00
2.85548e-01	1.14401e+00
3.09477e-01	1.05436e+00
3.35410e-01	1.00043e+00
3.63517e-01	9.81046e-01
3.93979e-01	9.95428e-01
4.26994e-01	1.04339e+00
4.62775e-01	1.12506e+00
5.01555e-01	1.24014e+00
5.43585e-01	1.38703e+00
5.89136e-01	1.56187e+00
6.38505e-01	1.75819e+00
6.92011e-01	1.96746e+00
7.50000e-01	2.18069e+00
