# T [GeV]	qhat/T^3
1.50000e-01	7.41218e+00
1.62570e-01	6.96678e+00
1.76193e-01	6.42402e+00
1.90958e-01	5.83630e+00
2.06959e-01	5.25002e+00
2.24302e-01	4.70026e+00
2.43098e-01	4.20881e+00
2.63470e-01	3.78520e+00
2.85548e-01	3.42925e+00
3.09477e-01	3.13411e+00
3.35410e-01	2.88906e+00
3.63517e-01	2.68170e+00
3.93979e-01	2.49978e+00
4.26994e-01	2.33278e+00
4.62775e-01	2.17317e+00
5.01555e-01	2.01726e+00
5.43585e-01	1.86536e+00
5.89136e-01	1.72111e+00
6.38505e-01	1.59014e+00
6.92011e-01	1.47870e+00
7.50000e-01	1.39250e+00
