# T [GeV]	qhat/T^3
1.50000e-01	5.75469e+00
1.62570e-01	5.77043e+00
1.76193e-01	5.68360e+00
1.90958e-01	5.49776e+00
2.06959e-01	5.22613e+00
2.24302e-01	4.89049e+00
2.43098e-01	4.51802e+00
2.63470e-01	4.13704e+00
2.85548e-01	3.77287e+00
3.09477e-01	3.44508e+00
3.35410e-01	3.16641e+00
3.63517e-01	2.94322e+00
3.93979e-01	2.77668e+00
4.26994e-01	2.66407e+00
4.62775e-01	2.59977e+00
5.01555e-01	2.57570e+00
5.43585e-01	2.58142e+00
5.89136e-01	2.60436e+00
6.38505e-01	2.63049e+00
6.92011e-01	2.64600e+00
7.50000e-01	2.63968e+00
