# T [GeV]	qhat/T^3
1.50000e-01	3.28026e+00
1.62570e-01	3.80834e+00
1.76193e-01	4.51322e+00
1.90958e-01	5.41635e+00
2.06959e-01	6.52161e+00
2.24302e-01	7.79983e+00
2.43098e-01	9.17374e+00
2.63470e-01	1.05118e+01
2.85548e-01	1.16404e+01
3.09477e-01	1.23803e+01
3.35410e-01	1.25969e+01
3.63517e-01	1.22463e+01
3.93979e-01	1.13921e+01
4.26994e-01	1.01834e+01
4.62775e-01	8.80588e+00
5.01555e-01	7.43024e+00
5.43585e-01	6.17865e+00
5.89136e-01	5.11625e+00
6.38505e-01	4.26091e+00
6.92011e-01	3.60027e+00
7.50000e-01	3.10764e+00
