# T [GeV]	qhat/T^3
1.50000e-01	3.50028e+00
1.62570e-01	3.06248e+00
1.76193e-01	2.69893e+00
1.90958e-01	2.41167e+00
2.06959e-01	2.19781e+00
2.24302e-01	2.05219e+00
2.43098e-01	1.96958e+00
2.63470e-01	1.94608e+00
2.85548e-01	1.98000e+00
3.09477e-01	2.07240e+00
3.35410e-01	2.22736e+00
3.63517e-01	2.45231e+00
3.93979e-01	2.75820e+00
4.26994e-01	3.15962e+00
4.62775e-01	3.67441e+00
5.01555e-01	4.32242e+00
5.43585e-01	5.12291e+00
5.89136e-01	6.08966e+00
6.38505e-01	7.22372e+00
6.92011e-01	8.50411e+00
7.50000e-01	9.87866e+00
