# T [GeV]	qhat/T^3
1.50000e-01	1.45781e+00
1.62570e-01	1.60100e+00
1.76193e-01	1.78493e+00
1.90958e-01	2.00731e+00
2.06959e-01	2.26215e+00
2.24302e-01	2.53960e+00
2.43098e-01	2.82699e+00
2.63470e-01	3.11085e+00
2.85548e-01	3.37960e+00
3.09477e-01	3.62560e+00
3.35410e-01	3.84614e+00
3.63517e-01	4.04277e+00
3.93979e-01	4.21973e+00
4.26994e-01	4.38173e+00
4.62775e-01	4.53202e+00
5.01555e-01	4.67103e+00
5.43585e-01	4.79570e+00
5.89136e-01	4.89977e+00
6.38505e-01	4.97485e+00
6.92011e-01	5.01220e+00
7.50000e-01	5.00483e+00
