# T [GeV]	qhat/T^3
1.50000e-01	3.17328e+00
1.62570e-01	3.96029e+00
1.76193e-01	4.98982e+00
1.90958e-01	6.30556e+00
2.06959e-01	7.93436e+00
2.24302e-01	9.86760e+00
2.43098e-01	1.20410e+01
2.63470e-01	1.43217e+01
2.85548e-01	1.65132e+01
3.09477e-01	1.83851e+01
3.35410e-01	1.97248e+01
3.63517e-01	2.03926e+01
3.93979e-01	2.03574e+01
4.26994e-01	1.96987e+01
4.62775e-01	1.85751e+01
5.01555e-01	1.71768e+01
5.43585e-01	1.56824e+01
5.89136e-01	1.42315e+01
6.38505e-01	1.29160e+01
6.92011e-01	1.17848e+01
7.50000e-01	1.08545e+01
