# T [GeV]	qhat/T^3
1.50000e-01	4.99432e+00
1.62570e-01	4.73356e+00
1.76193e-01	4.54610e+00
1.90958e-01	4.42762e+00
2.06959e-01	4.37185e+00
2.24302e-01	4.37188e+00
2.43098e-01	4.42125e+00
2.63470e-01	4.51492e+00
2.85548e-01	4.65019e+00
3.09477e-01	4.82740e+00
3.35410e-01	5.05028e+00
3.63517e-01	5.32577e+00
3.93979e-01	5.66318e+00
4.26994e-01	6.07268e+00
4.62775e-01	6.56297e+00
5.01555e-01	7.13809e+00
5.43585e-01	7.79342e+00
5.89136e-01	8.51117e+00
6.38505e-01	9.25642e+00
6.92011e-01	9.97553e+00
7.50000e-01	1.05991e+01
