# T [GeV]	qhat/T^3
1.50000e-01	6.67879e+00
1.62570e-01	7.38711e+00
1.76193e-01	8.02743e+00
1.90958e-01	8.54260e+00
2.06959e-01	8.87640e+00
2.24302e-01	8.98532e+00
2.43098e-01	8.85012e+00
2.63470e-01	8.48293e+00
2.85548e-01	7.92612e+00
3.09477e-01	7.24284e+00
3.35410e-01	6.50281e+00
3.63517e-01	5.76867e+00
3.93979e-01	5.08721e+00
4.26994e-01	4.48660e+00
4.62775e-01	3.97856e+00
5.01555e-01	3.56278e+00
5.43585e-01	3.23172e+00
5.89136e-01	2.97450e+00
6.38505e-01	2.77955e+00
6.92011e-01	2.63621e+00
7.50000e-01	2.53561e+00
