# T [GeV]	qhat/T^3
1.50000e-01	2.13088e+00
1.62570e-01	2.06791e+00
1.76193e-01	1.99337e+00
1.90958e-01	1.90879e+00
2.06959e-01	1.81578e+00
2.24302e-01	1.71631e+00
2.43098e-01	1.61297e+00
2.63470e-01	1.50912e+00
2.85548e-01	1.40883e+00
3.09477e-01	1.31651e+00
3.35410e-01	1.23653e+00
3.63517e-01	1.17281e+00
3.93979e-01	1.12864e+00
4.26994e-01	1.10665e+00
4.62775e-01	1.10898e+00
5.01555e-01	1.13733e+00
5.43585e-01	1.19296e+00
5.89136e-01	1.27629e+00
6.38505e-01	1.38635e+00
6.92011e-01	1.51985e+00
7.50000e-01	1.67052e+00
