# T [GeV]	qhat/T^3
1.50000e-01	1.19030e+01
1.62570e-01	1.31770e+01
1.76193e-01	1.46205e+01
1.90958e-01	1.61435e+01
2.06959e-01	1.76121e+01
2.24302e-01	1.88592e+01
2.43098e-01	1.97115e+01
2.63470e-01	2.00285e+01
2.85548e-01	1.97397e+01
3.09477e-01	1.88663e+01
3.35410e-01	1.75149e+01
3.63517e-01	1.58480e+01
3.93979e-01	1.40435e+01
4.26994e-01	1.22587e+01
4.62775e-01	1.06093e+01
5.01555e-01	9.16356e+00
5.43585e-01	7.94915e+00
5.89136e-01	6.96455e+00
6.38505e-01	6.19095e+00
6.92011e-01	5.60141e+00
7.50000e-01	5.16690e+00
