# T [GeV]	qhat/T^3
1.50000e-01	3.53559e+00
1.62570e-01	3.22657e+00
1.76193e-01	2.97125e+00
1.90958e-01	2.78714e+00
2.06959e-01	2.68569e+00
2.24302e-01	2.67560e+00
2.43098e-01	2.76593e+00
2.63470e-01	2.96802e+00
2.85548e-01	3.29581e+00
3.09477e-01	3.76363e+00
3.35410e-01	4.38085e+00
3.63517e-01	5.14325e+00
3.93979e-01	6.02275e+00
4.26994e-01	6.95944e+00
4.62775e-01	7.86202e+00
5.01555e-01	8.62124e+00
5.43585e-01	9.13488e+00
5.89136e-01	9.33549e+00
6.38505e-01	9.20842e+00
6.92011e-01	8.79227e+00
7.50000e-01	8.16303e+00
