# T [GeV]	qhat/T^3
1.50000e-01	2.23782e+00
1.62570e-01	2.13266e+00
1.76193e-01	2.06683e+00
1.90958e-01	2.04576e+00
2.06959e-01	2.07586e+00
2.24302e-01	2.16498e+00
2.43098e-01	2.32275e+00
2.63470e-01	2.56022e+00
2.85548e-01	2.88821e+00
3.09477e-01	3.31356e+00
3.35410e-01	3.83274e+00
3.63517e-01	4.42335e+00
3.93979e-01	5.03649e+00
4.26994e-01	5.59599e+00
4.62775e-01	6.01034e+00
5.01555e-01	6.19832e+00
5.43585e-01	6.11883e+00
5.89136e-01	5.78838e+00
6.38505e-01	5.27505e+00
6.92011e-01	4.67226e+00
7.50000e-01	4.06840e+00
