# T [GeV]	qhat/T^3
1.50000e-01	4.86051e+00
1.62570e-01	4.76118e+00
1.76193e-01	4.62331e+00
1.90958e-01	4.45307e+00
2.06959e-01	4.26538e+00
2.24302e-01	4.08100e+00
2.43098e-01	3.92310e+00
2.63470e-01	3.81463e+00
2.85548e-01	3.77713e+00
3.09477e-01	3.83105e+00
3.35410e-01	3.99706e+00
3.63517e-01	4.29717e+00
3.93979e-01	4.75474e+00
4.26994e-01	5.39177e+00
4.62775e-01	6.22256e+00
5.01555e-01	7.24320e+00
5.43585e-01	8.41931e+00
5.89136e-01	9.67768e+00
6.38505e-01	1.09096e+01
6.92011e-01	1.19914e+01
7.50000e-01	1.28170e+01
