# T [GeV]	qhat/T^3
1.50000e-01	1.67009e+00
1.62570e-01	1.59026e+00
1.76193e-01	1.49566e+00
1.90958e-01	1.39201e+00
2.06959e-01	1.28525e+00
2.24302e-01	1.18059e+00
2.43098e-01	1.08208e+00
2.63470e-01	9.92490e-01
2.85548e-01	9.13490e-01
3.09477e-01	8.45925e-01
3.35410e-01	7.90067e-01
3.63517e-01	7.45835e-01
3.93979e-01	7.12936e-01
4.26994e-01	6.90951e-01
4.62775e-01	6.79374e-01
5.01555e-01	6.77616e-01
5.43585e-01	6.84988e-01
5.89136e-01	7.00667e-01
6.38505e-01	7.23689e-01
6.92011e-01	7.52961e-01
7.50000e-01	7.87347e-01
