# T [GeV]	qhat/T^3
1.50000e-01	2.55821e+00
1.62570e-01	2.70431e+00
1.76193e-01	2.79929e+00
1.90958e-01	2.85122e+00
2.06959e-01	2.87516e+00
2.24302e-01	2.88919e+00
2.43098e-01	2.91070e+00
2.63470e-01	2.95370e+00
2.85548e-01	3.02723e+00
3.09477e-01	3.13428e+00
3.35410e-01	3.27091e+00
3.63517e-01	3.42556e+00
3.93979e-01	3.57920e+00
4.26994e-01	3.70721e+00
4.62775e-01	3.78380e+00
5.01555e-01	3.78832e+00
5.43585e-01	3.71147e+00
5.89136e-01	3.55855e+00
6.38505e-01	3.34816e+00
6.92011e-01	3.10686e+00
7.50000e-01	2.86249e+00
