# T [GeV]	qhat/T^3
1.50000e-01	3.50304e+00
1.62570e-01	3.85992e+00
1.76193e-01	4.22044e+00
1.90958e-01	4.56226e+00
2.06959e-01	4.86052e+00
2.24302e-01	5.09162e+00
2.43098e-01	5.23766e+00
2.63470e-01	5.29037e+00
2.85548e-01	5.25341e+00
3.09477e-01	5.14193e+00
3.35410e-01	4.98005e+00
3.63517e-01	4.79679e+00
3.93979e-01	4.62211e+00
4.26994e-01	4.48414e+00
4.62775e-01	4.40787e+00
5.01555e-01	4.41543e+00
5.43585e-01	4.52712e+00
5.89136e-01	4.76225e+00
6.38505e-01	5.13865e+00
6.92011e-01	5.66943e+00
7.50000e-01	6.35540e+00
