# T [GeV]	qhat/T^3
1.50000e-01	6.86254e+00
1.62570e-01	7.12416e+00
1.76193e-01	7.60095e+00
1.90958e-01	8.33000e+00
2.06959e-01	9.34431e+00
2.24302e-01	1.06652e+01
2.43098e-01	1.22895e+01
2.63470e-01	1.41731e+01
2.85548e-01	1.62179e+01
3.09477e-01	1.82698e+01
3.35410e-01	2.01343e+01
3.63517e-01	2.16115e+01
3.93979e-01	2.25398e+01
4.26994e-01	2.28324e+01
4.62775e-01	2.24933e+01
5.01555e-01	2.16069e+01
5.43585e-01	2.03095e+01
5.89136e-01	1.87547e+01
6.38505e-01	1.70849e+01
6.92011e-01	1.54139e+01
7.50000e-01	1.38217e+01
