# T [GeV]	qhat/T^3
1.50000e-01	1.31021e+01
1.62570e-01	1.21793e+01
1.76193e-01	1.11865e+01
1.90958e-01	1.01939e+01
2.06959e-01	9.25555e+00
2.24302e-01	8.40840e+00
2.43098e-01	7.67373e+00
2.63470e-01	7.06049e+00
2.85548e-01	6.56866e+00
3.09477e-01	6.19234e+00
3.35410e-01	5.92210e+00
3.63517e-01	5.74645e+00
3.93979e-01	5.65282e+00
4.26994e-01	5.62813e+00
4.62775e-01	5.65947e+00
5.01555e-01	5.73500e+00
5.43585e-01	5.84521e+00
5.89136e-01	5.98444e+00
6.38505e-01	6.15196e+00
6.92011e-01	6.35242e+00
7.50000e-01	6.59500e+00
