# T [GeV]	qhat/T^3
1.50000e-01	1.56788e+00
1.62570e-01	1.58519e+00
1.76193e-01	1.65488e+00
1.90958e-01	1.77462e+00
2.06959e-01	1.94283e+00
2.24302e-01	2.15691e+00
2.43098e-01	2.41119e+00
2.63470e-01	2.69492e+00
2.85548e-01	2.99096e+00
3.09477e-01	3.27602e+00
3.35410e-01	3.52313e+00
3.63517e-01	3.70651e+00
3.93979e-01	3.80747e+00
4.26994e-01	3.81912e+00
4.62775e-01	3.74779e+00
5.01555e-01	3.61052e+00
5.43585e-01	3.42972e+00
5.89136e-01	3.22737e+00
6.38505e-01	3.02069e+00
6.92011e-01	2.82013e+00
7.50000e-01	2.62954e+00
