# T [GeV]	qhat/T^3
1.50000e-01	6.48914e+00
1.62570e-01	5.99712e+00
1.76193e-01	5.65011e+00
1.90958e-01	5.43933e+00
2.06959e-01	5.35852e+00
2.24302e-01	5.40525e+00
2.43098e-01	5.58172e+00
2.63470e-01	5.89530e+00
2.85548e-01	6.35887e+00
3.09477e-01	6.99101e+00
3.35410e-01	7.81599e+00
3.63517e-01	8.86310e+00
3.93979e-01	1.01647e+01
4.26994e-01	1.17521e+01
4.62775e-01	1.36476e+01
5.01555e-01	1.58509e+01
5.43585e-01	1.83207e+01
5.89136e-01	2.09515e+01
6.38505e-01	2.35541e+01
6.92011e-01	2.58533e+01
7.50000e-01	2.75181e+01
