# T [GeV]	qhat/T^3
1.50000e-01	1.53347e+00
1.62570e-01	1.63467e+00
1.76193e-01	1.74409e+00
1.90958e-01	1.85895e+00
2.06959e-01	1.97515e+00
2.24302e-01	2.08760e+00
2.43098e-01	2.19073e+00
2.63470e-01	2.27926e+00
2.85548e-01	2.34892e+00
3.09477e-01	2.39700e+00
3.35410e-01	2.42250e+00
3.63517e-01	2.42597e+00
3.93979e-01	2.40907e+00
4.26994e-01	2.37417e+00
4.62775e-01	2.32395e+00
5.01555e-01	2.26143e+00
5.43585e-01	2.19005e+00
5.89136e-01	2.11391e+00
6.38505e-01	2.03789e+00
6.92011e-01	1.96763e+00
7.50000e-01	1.90928e+00
