# T [GeV]	qhat/T^3
1.50000e-01	1.62524e+01
1.62570e-01	1.54928e+01
1.76193e-01	1.42389e+01
1.90958e-01	1.26435e+01
2.06959e-01	1.08841e+01
2.24302e-01	9.12590e+00
2.43098e-01	7.49524e+00
2.63470e-01	6.06882e+00
2.85548e-01	4.87716e+00
3.09477e-01	3.91650e+00
3.35410e-01	3.16261e+00
3.63517e-01	2.58262e+00
3.93979e-01	2.14292e+00
4.26994e-01	1.81356e+00
4.62775e-01	1.56985e+00
5.01555e-01	1.39259e+00
5.43585e-01	1.26734e+00
5.89136e-01	1.18361e+00
6.38505e-01	1.13399e+00
6.92011e-01	1.11332e+00
7.50000e-01	1.11814e+00
