# T [GeV]	qhat/T^3
1.50000e-01	1.44619e+01
1.62570e-01	1.49590e+01
1.76193e-01	1.47863e+01
1.90958e-01	1.39512e+01
2.06959e-01	1.25847e+01
2.24302e-01	1.09006e+01
2.43098e-01	9.12966e+00
2.63470e-01	7.46095e+00
2.85548e-01	6.01182e+00
3.09477e-01	4.82903e+00
3.35410e-01	3.90826e+00
3.63517e-01	3.21756e+00
3.93979e-01	2.71589e+00
4.26994e-01	2.36428e+00
4.62775e-01	2.13085e+00
5.01555e-01	1.99206e+00
5.43585e-01	1.93221e+00
5.89136e-01	1.94233e+00
6.38505e-01	2.01906e+00
6.92011e-01	2.16362e+00
7.50000e-01	2.38089e+00
