# T [GeV]	qhat/T^3
1.50000e-01	1.21854e+01
1.62570e-01	1.28277e+01
1.76193e-01	1.28785e+01
1.90958e-01	1.23547e+01
2.06959e-01	1.13805e+01
2.24302e-01	1.01399e+01
2.43098e-01	8.81855e+00
2.63470e-01	7.56124e+00
2.85548e-01	6.45596e+00
3.09477e-01	5.53915e+00
3.35410e-01	4.81124e+00
3.63517e-01	4.25258e+00
3.93979e-01	3.83520e+00
4.26994e-01	3.52966e+00
4.62775e-01	3.30815e+00
5.01555e-01	3.14550e+00
5.43585e-01	3.01937e+00
5.89136e-01	2.91062e+00
6.38505e-01	2.80391e+00
6.92011e-01	2.68867e+00
7.50000e-01	2.55975e+00
