# T [GeV]	qhat/T^3
1.50000e-01	3.44135e+00
1.62570e-01	3.40141e+00
1.76193e-01	3.31181e+00
1.90958e-01	3.18642e+00
2.06959e-01	3.04015e+00
2.24302e-01	2.88690e+00
2.43098e-01	2.73817e+00
2.63470e-01	2.60259e+00
2.85548e-01	2.48601e+00
3.09477e-01	2.39206e+00
3.35410e-01	2.32285e+00
3.63517e-01	2.27957e+00
3.93979e-01	2.26288e+00
4.26994e-01	2.27316e+00
4.62775e-01	2.31046e+00
5.01555e-01	2.37432e+00
5.43585e-01	2.46349e+00
5.89136e-01	2.57561e+00
6.38505e-01	2.70703e+00
6.92011e-01	2.85287e+00
7.50000e-01	3.00746e+00
