# T [GeV]	qhat/T^3
1.50000e-01	4.37243e+00
1.62570e-01	4.13880e+00
1.76193e-01	3.80321e+00
1.90958e-01	3.39907e+00
2.06959e-01	2.96421e+00
2.24302e-01	2.53368e+00
2.43098e-01	2.13462e+00
2.63470e-01	1.78419e+00
2.85548e-01	1.49013e+00
3.09477e-01	1.25296e+00
3.35410e-01	1.06863e+00
3.63517e-01	9.31001e-01
3.93979e-01	8.33591e-01
4.26994e-01	7.70648e-01
4.62775e-01	7.37667e-01
5.01555e-01	7.31457e-01
5.43585e-01	7.49902e-01
5.89136e-01	7.91445e-01
6.38505e-01	8.54342e-01
6.92011e-01	9.35715e-01
7.50000e-01	1.03064e+00
